"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"125400 Verzekeringen i.v.m. vervoer";"1996 januari";"   72.01";""
"125400 Verzekeringen i.v.m. vervoer";"1996 februari";"   72.01";""
"125400 Verzekeringen i.v.m. vervoer";"1996 maart";"   72.01";""
"125400 Verzekeringen i.v.m. vervoer";"1996 april";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 mei";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 juni";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 juli";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 augustus";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 september";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 oktober";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 november";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1996 december";"   72.48";""
"125400 Verzekeringen i.v.m. vervoer";"1997 januari";"   72.48";"     0.7"
"125400 Verzekeringen i.v.m. vervoer";"1997 februari";"   72.48";"     0.7"
"125400 Verzekeringen i.v.m. vervoer";"1997 maart";"   72.48";"     0.7"
"125400 Verzekeringen i.v.m. vervoer";"1997 april";"   72.48";"     0.0"
"125400 Verzekeringen i.v.m. vervoer";"1997 mei";"   72.48";"     0.0"
"125400 Verzekeringen i.v.m. vervoer";"1997 juni";"   72.48";"     0.0"
"125400 Verzekeringen i.v.m. vervoer";"1997 juli";"   72.48";"     0.0"
"125400 Verzekeringen i.v.m. vervoer";"1997 augustus";"   72.48";"     0.0"
"125400 Verzekeringen i.v.m. vervoer";"1997 september";"   72.48";"     0.0"
"125400 Verzekeringen i.v.m. vervoer";"1997 oktober";"   72.40";"    -0.1"
"125400 Verzekeringen i.v.m. vervoer";"1997 november";"   72.40";"    -0.1"
"125400 Verzekeringen i.v.m. vervoer";"1997 december";"   72.40";"    -0.1"
"125400 Verzekeringen i.v.m. vervoer";"1998 januari";"   72.39";"    -0.1"
"125400 Verzekeringen i.v.m. vervoer";"1998 februari";"   72.39";"    -0.1"
"125400 Verzekeringen i.v.m. vervoer";"1998 maart";"   72.39";"    -0.1"
"125400 Verzekeringen i.v.m. vervoer";"1998 april";"   72.20";"    -0.4"
"125400 Verzekeringen i.v.m. vervoer";"1998 mei";"   72.20";"    -0.4"
"125400 Verzekeringen i.v.m. vervoer";"1998 juni";"   72.20";"    -0.4"
"125400 Verzekeringen i.v.m. vervoer";"1998 juli";"   72.54";"     0.1"
"125400 Verzekeringen i.v.m. vervoer";"1998 augustus";"   72.54";"     0.1"
"125400 Verzekeringen i.v.m. vervoer";"1998 september";"   72.54";"     0.1"
"125400 Verzekeringen i.v.m. vervoer";"1998 oktober";"   72.58";"     0.2"
"125400 Verzekeringen i.v.m. vervoer";"1998 november";"   72.58";"     0.2"
"125400 Verzekeringen i.v.m. vervoer";"1998 december";"   72.58";"     0.2"
"125400 Verzekeringen i.v.m. vervoer";"1999 januari";"   72.50";"     0.2"
"125400 Verzekeringen i.v.m. vervoer";"1999 februari";"   72.50";"     0.2"
"125400 Verzekeringen i.v.m. vervoer";"1999 maart";"   72.50";"     0.2"
"125400 Verzekeringen i.v.m. vervoer";"1999 april";"   72.76";"     0.8"
"125400 Verzekeringen i.v.m. vervoer";"1999 mei";"   72.76";"     0.8"
"125400 Verzekeringen i.v.m. vervoer";"1999 juni";"   72.76";"     0.8"
