"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071110 Nieuwe auto's";"1996 januari";"   75.34";""
"071110 Nieuwe auto's";"1996 februari";"   75.34";""
"071110 Nieuwe auto's";"1996 maart";"   74.55";""
"071110 Nieuwe auto's";"1996 april";"   74.43";""
"071110 Nieuwe auto's";"1996 mei";"   74.44";""
"071110 Nieuwe auto's";"1996 juni";"   74.48";""
"071110 Nieuwe auto's";"1996 juli";"   74.12";""
"071110 Nieuwe auto's";"1996 augustus";"   74.12";""
"071110 Nieuwe auto's";"1996 september";"   74.19";""
"071110 Nieuwe auto's";"1996 oktober";"   74.26";""
"071110 Nieuwe auto's";"1996 november";"   74.26";""
"071110 Nieuwe auto's";"1996 december";"   74.01";""
"071110 Nieuwe auto's";"1997 januari";"   74.20";"    -1.5"
"071110 Nieuwe auto's";"1997 februari";"   74.20";"    -1.5"
"071110 Nieuwe auto's";"1997 maart";"   74.20";"    -0.5"
"071110 Nieuwe auto's";"1997 april";"   74.43";"     0.0"
"071110 Nieuwe auto's";"1997 mei";"   74.43";"     0.0"
"071110 Nieuwe auto's";"1997 juni";"   74.43";"    -0.1"
"071110 Nieuwe auto's";"1997 juli";"   74.36";"     0.3"
"071110 Nieuwe auto's";"1997 augustus";"   74.36";"     0.3"
"071110 Nieuwe auto's";"1997 september";"   74.64";"     0.6"
"071110 Nieuwe auto's";"1997 oktober";"   74.68";"     0.6"
"071110 Nieuwe auto's";"1997 november";"   74.68";"     0.6"
"071110 Nieuwe auto's";"1997 december";"   74.66";"     0.9"
"071110 Nieuwe auto's";"1998 januari";"   74.48";"     0.4"
"071110 Nieuwe auto's";"1998 februari";"   74.48";"     0.4"
"071110 Nieuwe auto's";"1998 maart";"   74.60";"     0.5"
"071110 Nieuwe auto's";"1998 april";"   74.34";"    -0.1"
"071110 Nieuwe auto's";"1998 mei";"   74.34";"    -0.1"
"071110 Nieuwe auto's";"1998 juni";"   74.61";"     0.2"
"071110 Nieuwe auto's";"1998 juli";"   74.76";"     0.5"
"071110 Nieuwe auto's";"1998 augustus";"   74.76";"     0.5"
"071110 Nieuwe auto's";"1998 september";"   74.86";"     0.3"
"071110 Nieuwe auto's";"1998 oktober";"   74.92";"     0.3"
"071110 Nieuwe auto's";"1998 november";"   74.92";"     0.3"
"071110 Nieuwe auto's";"1998 december";"   74.68";"     0.0"
"071110 Nieuwe auto's";"1999 januari";"   74.65";"     0.2"
"071110 Nieuwe auto's";"1999 februari";"   74.65";"     0.2"
"071110 Nieuwe auto's";"1999 maart";"   74.76";"     0.2"
"071110 Nieuwe auto's";"1999 april";"   75.22";"     1.2"
"071110 Nieuwe auto's";"1999 mei";"   75.22";"     1.2"
"071110 Nieuwe auto's";"1999 juni";"   75.31";"     0.9"
"071110 Nieuwe auto's";"1999 juli";"   75.49";"     1.0"
"071110 Nieuwe auto's";"1999 augustus";"   75.49";"     1.0"
