"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072300 Onderhoud en rep. privévoertuigen";"1996 januari";"   58.58";""
"072300 Onderhoud en rep. privévoertuigen";"1996 februari";"   58.77";""
"072300 Onderhoud en rep. privévoertuigen";"1996 maart";"   58.74";""
"072300 Onderhoud en rep. privévoertuigen";"1996 april";"   58.68";""
"072300 Onderhoud en rep. privévoertuigen";"1996 mei";"   58.62";""
"072300 Onderhoud en rep. privévoertuigen";"1996 juni";"   58.33";""
"072300 Onderhoud en rep. privévoertuigen";"1996 juli";"   58.26";""
"072300 Onderhoud en rep. privévoertuigen";"1996 augustus";"   58.13";""
"072300 Onderhoud en rep. privévoertuigen";"1996 september";"   57.70";""
"072300 Onderhoud en rep. privévoertuigen";"1996 oktober";"   57.71";""
"072300 Onderhoud en rep. privévoertuigen";"1996 november";"   57.51";""
"072300 Onderhoud en rep. privévoertuigen";"1996 december";"   57.57";""
"072300 Onderhoud en rep. privévoertuigen";"1997 januari";"   57.41";"    -2.0"
"072300 Onderhoud en rep. privévoertuigen";"1997 februari";"   57.60";"    -2.0"
"072300 Onderhoud en rep. privévoertuigen";"1997 maart";"   56.89";"    -3.1"
"072300 Onderhoud en rep. privévoertuigen";"1997 april";"   56.93";"    -3.0"
"072300 Onderhoud en rep. privévoertuigen";"1997 mei";"   57.01";"    -2.7"
"072300 Onderhoud en rep. privévoertuigen";"1997 juni";"   56.98";"    -2.3"
"072300 Onderhoud en rep. privévoertuigen";"1997 juli";"   56.99";"    -2.2"
"072300 Onderhoud en rep. privévoertuigen";"1997 augustus";"   56.91";"    -2.1"
"072300 Onderhoud en rep. privévoertuigen";"1997 september";"   56.80";"    -1.6"
"072300 Onderhoud en rep. privévoertuigen";"1997 oktober";"   56.71";"    -1.7"
"072300 Onderhoud en rep. privévoertuigen";"1997 november";"   56.74";"    -1.3"
"072300 Onderhoud en rep. privévoertuigen";"1997 december";"   56.52";"    -1.8"
"072300 Onderhoud en rep. privévoertuigen";"1998 januari";"   56.81";"    -1.0"
"072300 Onderhoud en rep. privévoertuigen";"1998 februari";"   56.74";"    -1.5"
"072300 Onderhoud en rep. privévoertuigen";"1998 maart";"   56.80";"    -0.2"
"072300 Onderhoud en rep. privévoertuigen";"1998 april";"   56.70";"    -0.4"
"072300 Onderhoud en rep. privévoertuigen";"1998 mei";"   56.77";"    -0.4"
"072300 Onderhoud en rep. privévoertuigen";"1998 juni";"   56.71";"    -0.5"
"072300 Onderhoud en rep. privévoertuigen";"1998 juli";"   56.92";"    -0.1"
"072300 Onderhoud en rep. privévoertuigen";"1998 augustus";"   56.59";"    -0.6"
"072300 Onderhoud en rep. privévoertuigen";"1998 september";"   56.60";"    -0.4"
"072300 Onderhoud en rep. privévoertuigen";"1998 oktober";"   56.69";"     0.0"
"072300 Onderhoud en rep. privévoertuigen";"1998 november";"   56.64";"    -0.2"
"072300 Onderhoud en rep. privévoertuigen";"1998 december";"   56.49";"    -0.1"
"072300 Onderhoud en rep. privévoertuigen";"1999 januari";"   57.50";"     1.2"
"072300 Onderhoud en rep. privévoertuigen";"1999 februari";"   58.11";"     2.4"
"072300 Onderhoud en rep. privévoertuigen";"1999 maart";"   58.40";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"1999 april";"   58.88";"     3.8"
"072300 Onderhoud en rep. privévoertuigen";"1999 mei";"   58.35";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"1999 juni";"   58.62";"     3.4"
"072300 Onderhoud en rep. privévoertuigen";"1999 juli";"   58.74";"     3.2"
"072300 Onderhoud en rep. privévoertuigen";"1999 augustus";"   59.04";"     4.3"
"072300 Onderhoud en rep. privévoertuigen";"1999 september";"   59.33";"     4.8"
"072300 Onderhoud en rep. privévoertuigen";"1999 oktober";"   59.18";"     4.4"
"072300 Onderhoud en rep. privévoertuigen";"1999 november";"   59.15";"     4.4"
"072300 Onderhoud en rep. privévoertuigen";"1999 december";"   59.18";"     4.8"
"072300 Onderhoud en rep. privévoertuigen";"2000 januari";"   59.79";"     4.0"
"072300 Onderhoud en rep. privévoertuigen";"2000 februari";"   60.41";"     4.0"
"072300 Onderhoud en rep. privévoertuigen";"2000 maart";"   60.51";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2000 april";"   60.41";"     2.6"
"072300 Onderhoud en rep. privévoertuigen";"2000 mei";"   60.56";"     3.8"
"072300 Onderhoud en rep. privévoertuigen";"2000 juni";"   60.60";"     3.4"
"072300 Onderhoud en rep. privévoertuigen";"2000 juli";"   60.81";"     3.5"
"072300 Onderhoud en rep. privévoertuigen";"2000 augustus";"   60.84";"     3.0"
"072300 Onderhoud en rep. privévoertuigen";"2000 september";"   61.00";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2000 oktober";"   60.87";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2000 november";"   61.27";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2000 december";"   61.20";"     3.4"
"072300 Onderhoud en rep. privévoertuigen";"2001 januari";"   63.28";"     5.8"
"072300 Onderhoud en rep. privévoertuigen";"2001 februari";"   63.77";"     5.6"
"072300 Onderhoud en rep. privévoertuigen";"2001 maart";"   63.96";"     5.7"
