"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072200 Brandstoffen en smeermiddelen";"1996 januari";"   52.86";""
"072200 Brandstoffen en smeermiddelen";"1996 februari";"   53.01";""
"072200 Brandstoffen en smeermiddelen";"1996 maart";"   53.55";""
"072200 Brandstoffen en smeermiddelen";"1996 april";"   55.62";""
"072200 Brandstoffen en smeermiddelen";"1996 mei";"   55.54";""
"072200 Brandstoffen en smeermiddelen";"1996 juni";"   54.38";""
"072200 Brandstoffen en smeermiddelen";"1996 juli";"   54.80";""
"072200 Brandstoffen en smeermiddelen";"1996 augustus";"   54.42";""
"072200 Brandstoffen en smeermiddelen";"1996 september";"   55.24";""
"072200 Brandstoffen en smeermiddelen";"1996 oktober";"   55.82";""
"072200 Brandstoffen en smeermiddelen";"1996 november";"   55.89";""
"072200 Brandstoffen en smeermiddelen";"1996 december";"   56.19";""
"072200 Brandstoffen en smeermiddelen";"1997 januari";"   57.20";"     8.2"
"072200 Brandstoffen en smeermiddelen";"1997 februari";"   57.03";"     7.6"
"072200 Brandstoffen en smeermiddelen";"1997 maart";"   56.23";"     5.0"
"072200 Brandstoffen en smeermiddelen";"1997 april";"   55.56";"    -0.1"
"072200 Brandstoffen en smeermiddelen";"1997 mei";"   55.85";"     0.6"
"072200 Brandstoffen en smeermiddelen";"1997 juni";"   55.79";"     2.6"
"072200 Brandstoffen en smeermiddelen";"1997 juli";"   59.41";"     8.4"
"072200 Brandstoffen en smeermiddelen";"1997 augustus";"   61.62";"    13.2"
"072200 Brandstoffen en smeermiddelen";"1997 september";"   60.65";"     9.8"
"072200 Brandstoffen en smeermiddelen";"1997 oktober";"   60.11";"     7.7"
"072200 Brandstoffen en smeermiddelen";"1997 november";"   59.91";"     7.2"
"072200 Brandstoffen en smeermiddelen";"1997 december";"   59.87";"     6.5"
"072200 Brandstoffen en smeermiddelen";"1998 januari";"   58.88";"     2.9"
"072200 Brandstoffen en smeermiddelen";"1998 februari";"   58.44";"     2.5"
"072200 Brandstoffen en smeermiddelen";"1998 maart";"   57.17";"     1.7"
"072200 Brandstoffen en smeermiddelen";"1998 april";"   58.00";"     4.4"
"072200 Brandstoffen en smeermiddelen";"1998 mei";"   57.98";"     3.8"
"072200 Brandstoffen en smeermiddelen";"1998 juni";"   57.59";"     3.2"
"072200 Brandstoffen en smeermiddelen";"1998 juli";"   58.06";"    -2.3"
"072200 Brandstoffen en smeermiddelen";"1998 augustus";"   57.36";"    -6.9"
"072200 Brandstoffen en smeermiddelen";"1998 september";"   56.94";"    -6.1"
"072200 Brandstoffen en smeermiddelen";"1998 oktober";"   57.09";"    -5.0"
"072200 Brandstoffen en smeermiddelen";"1998 november";"   56.55";"    -5.6"
"072200 Brandstoffen en smeermiddelen";"1998 december";"   55.66";"    -7.0"
"072200 Brandstoffen en smeermiddelen";"1999 januari";"   57.07";"    -3.1"
"072200 Brandstoffen en smeermiddelen";"1999 februari";"   56.52";"    -3.3"
"072200 Brandstoffen en smeermiddelen";"1999 maart";"   57.44";"     0.5"
"072200 Brandstoffen en smeermiddelen";"1999 april";"   59.26";"     2.2"
"072200 Brandstoffen en smeermiddelen";"1999 mei";"   59.75";"     3.1"
"072200 Brandstoffen en smeermiddelen";"1999 juni";"   59.70";"     3.7"
"072200 Brandstoffen en smeermiddelen";"1999 juli";"   61.75";"     6.4"
"072200 Brandstoffen en smeermiddelen";"1999 augustus";"   63.22";"    10.2"
"072200 Brandstoffen en smeermiddelen";"1999 september";"   63.39";"    11.3"
"072200 Brandstoffen en smeermiddelen";"1999 oktober";"   62.79";"    10.0"
"072200 Brandstoffen en smeermiddelen";"1999 november";"   64.34";"    13.8"
"072200 Brandstoffen en smeermiddelen";"1999 december";"   64.88";"    16.6"
"072200 Brandstoffen en smeermiddelen";"2000 januari";"   64.59";"    13.2"
"072200 Brandstoffen en smeermiddelen";"2000 februari";"   67.78";"    19.9"
"072200 Brandstoffen en smeermiddelen";"2000 maart";"   69.95";"    21.8"
"072200 Brandstoffen en smeermiddelen";"2000 april";"   67.38";"    13.7"
"072200 Brandstoffen en smeermiddelen";"2000 mei";"   71.24";"    19.2"
"072200 Brandstoffen en smeermiddelen";"2000 juni";"   73.57";"    23.2"
"072200 Brandstoffen en smeermiddelen";"2000 juli";"   72.03";"    16.6"
"072200 Brandstoffen en smeermiddelen";"2000 augustus";"   71.51";"    13.1"
"072200 Brandstoffen en smeermiddelen";"2000 september";"   74.26";"    17.1"
"072200 Brandstoffen en smeermiddelen";"2000 oktober";"   73.58";"    17.2"
"072200 Brandstoffen en smeermiddelen";"2000 november";"   72.45";"    12.6"
"072200 Brandstoffen en smeermiddelen";"2000 december";"   68.36";"     5.4"
"072200 Brandstoffen en smeermiddelen";"2001 januari";"   69.67";"     7.9"
