"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071120 Tweedehands auto's";"1996 januari";"  134.22";""
"071120 Tweedehands auto's";"1996 februari";"  133.89";""
"071120 Tweedehands auto's";"1996 maart";"  134.41";""
"071120 Tweedehands auto's";"1996 april";"  133.68";""
"071120 Tweedehands auto's";"1996 mei";"  134.63";""
"071120 Tweedehands auto's";"1996 juni";"  134.25";""
"071120 Tweedehands auto's";"1996 juli";"  133.76";""
"071120 Tweedehands auto's";"1996 augustus";"  134.57";""
"071120 Tweedehands auto's";"1996 september";"  133.08";""
"071120 Tweedehands auto's";"1996 oktober";"  133.63";""
"071120 Tweedehands auto's";"1996 november";"  129.33";""
"071120 Tweedehands auto's";"1996 december";"  129.78";""
"071120 Tweedehands auto's";"1997 januari";"  126.22";"    -6.0"
"071120 Tweedehands auto's";"1997 februari";"  126.88";"    -5.2"
"071120 Tweedehands auto's";"1997 maart";"  128.10";"    -4.7"
"071120 Tweedehands auto's";"1997 april";"  128.13";"    -4.2"
"071120 Tweedehands auto's";"1997 mei";"  128.82";"    -4.3"
"071120 Tweedehands auto's";"1997 juni";"  129.52";"    -3.5"
"071120 Tweedehands auto's";"1997 juli";"  129.94";"    -2.9"
"071120 Tweedehands auto's";"1997 augustus";"  130.75";"    -2.8"
"071120 Tweedehands auto's";"1997 september";"  131.25";"    -1.4"
"071120 Tweedehands auto's";"1997 oktober";"  128.88";"    -3.6"
"071120 Tweedehands auto's";"1997 november";"  129.58";"     0.2"
"071120 Tweedehands auto's";"1997 december";"  129.92";"     0.1"
"071120 Tweedehands auto's";"1998 januari";"  128.44";"     1.8"
"071120 Tweedehands auto's";"1998 februari";"  128.44";"     1.2"
"071120 Tweedehands auto's";"1998 maart";"  130.05";"     1.5"
"071120 Tweedehands auto's";"1998 april";"  130.55";"     1.9"
"071120 Tweedehands auto's";"1998 mei";"  131.39";"     2.0"
"071120 Tweedehands auto's";"1998 juni";"  132.06";"     2.0"
"071120 Tweedehands auto's";"1998 juli";"  131.86";"     1.5"
"071120 Tweedehands auto's";"1998 augustus";"  131.67";"     0.7"
"071120 Tweedehands auto's";"1998 september";"  131.62";"     0.3"
"071120 Tweedehands auto's";"1998 oktober";"  131.40";"     2.0"
"071120 Tweedehands auto's";"1998 november";"  131.67";"     1.6"
"071120 Tweedehands auto's";"1998 december";"  130.80";"     0.7"
"071120 Tweedehands auto's";"1999 januari";"  130.92";"     1.9"
"071120 Tweedehands auto's";"1999 februari";"  131.20";"     2.1"
"071120 Tweedehands auto's";"1999 maart";"  130.60";"     0.4"
"071120 Tweedehands auto's";"1999 april";"  130.72";"     0.1"
"071120 Tweedehands auto's";"1999 mei";"  130.38";"    -0.8"
"071120 Tweedehands auto's";"1999 juni";"  130.50";"    -1.2"
"071120 Tweedehands auto's";"1999 juli";"  130.38";"    -1.1"
"071120 Tweedehands auto's";"1999 augustus";"  130.11";"    -1.2"
"071120 Tweedehands auto's";"1999 september";"  129.73";"    -1.4"
"071120 Tweedehands auto's";"1999 oktober";"  129.69";"    -1.3"
"071120 Tweedehands auto's";"1999 november";"  129.51";"    -1.6"
