"Consumptieve bestedingen";"Perioden";"Volume/Volumemutaties (%)";"Volume/Volumemutaties, koopdaggecorrigeerd (%)";"Prijsmutaties (%)"
"Binnenlandse consumptie huishoudens";"2000 januari";"     3.5";"     4.0";"     2.6"
"Binnenlandse consumptie huishoudens";"2000 februari";"     5.8";"     3.9";"     2.6"
"Binnenlandse consumptie huishoudens";"2000 maart";"     5.7";"     4.7";"     2.8"
"Binnenlandse consumptie huishoudens";"2000 april";"     3.5";"     4.2";"     2.6"
"Binnenlandse consumptie huishoudens";"2000 mei";"     4.5";"     3.6";"     3.0"
"Binnenlandse consumptie huishoudens";"2000 juni";"     2.8";"     2.7";"     3.3"
"Binnenlandse consumptie huishoudens";"2000 juli";"     0.0";"     1.7";"     2.6"
"Binnenlandse consumptie huishoudens";"2000 augustus";"     5.4";"     3.9";"     2.4"
"Binnenlandse consumptie huishoudens";"2000 september";"     4.2";"     3.6";"     2.9"
"Binnenlandse consumptie huishoudens";"2000 oktober";"     0.8";"     2.2";"     3.0"
"Binnenlandse consumptie huishoudens";"2000 november";"     4.1";"     3.3";"     3.1"
"Binnenlandse consumptie huishoudens";"2000 december";"     3.7";"     4.9";"     2.9"
"Binnenlandse consumptie huishoudens";"2001 januari";"     1.9";"     1.9";"     3.1"
"Binnenlandse consumptie huishoudens";"2001 februari";"     0.5";"     2.4";"     3.1"
"Binnenlandse consumptie huishoudens";"2001 maart";"     2.4";"     2.0";"     3.3"
"Binnenlandse consumptie huishoudens";"2001 april";"     0.5";"     1.3";"     3.7"
"Binnenlandse consumptie huishoudens";"2001 mei";"     2.6";"     2.4";"     3.6"
"Binnenlandse consumptie huishoudens";"2001 juni";"     3.1";"     2.7";"     3.1"
"Binnenlandse consumptie huishoudens";"2001 juli";"     1.8";"     2.4";"     3.4"
"Binnenlandse consumptie huishoudens";"2001 augustus";"     2.8";"     2.4";"     3.3"
"Binnenlandse consumptie huishoudens";"2001 september";"     1.3";"     2.5";"     3.3"
"Binnenlandse consumptie huishoudens";"2001 oktober";"     3.4";"     2.5";"     3.3"
"Binnenlandse consumptie huishoudens";"2001 november";"     3.5";"     3.0";"     3.2"
