"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Nieuw verkochte wegvoertuigen (aantal)"
"Personenauto";"Totaal";"2007 januari";68733
"Personenauto";"Totaal";"2007 februari";41381
"Personenauto";"Totaal";"2007 maart";51310
"Personenauto";"Totaal";"2007 april";39036
"Personenauto";"Totaal";"2007 mei";42157
"Personenauto";"Totaal";"2007 juni";52574
"Personenauto";"Totaal";"2007 juli";39168
"Personenauto";"Totaal";"2007 augustus";41325
"Personenauto";"Totaal";"2007 september";40645
"Personenauto";"Totaal";"2007 oktober";42303
"Personenauto";"Totaal";"2007 november";38167
"Personenauto";"Totaal";"2007 december";8980
"Personenauto";"Totaal";"2008 januari";66356
"Personenauto";"Totaal";"2008 februari";50335
"Personenauto";"Totaal";"2008 maart";47212
"Personenauto";"Totaal";"2008 april";42247
"Personenauto";"Totaal";"2008 mei";45793
"Personenauto";"Totaal";"2008 juni";48248
"Personenauto";"Totaal";"2008 juli";40074
"Personenauto";"Totaal";"2008 augustus";39602
"Personenauto";"Totaal";"2008 september";41283
"Personenauto";"Totaal";"2008 oktober";41900
"Personenauto";"Totaal";"2008 november";29812
"Personenauto";"Totaal";"2008 december";7236
"Personenauto";"Totaal";"2009 januari";56184
"Personenauto";"Totaal";"2009 februari";33958
"Personenauto";"Totaal";"2009 maart";34532
"Personenauto";"Totaal";"2009 april";30277
"Personenauto";"Totaal";"2009 mei";30850
"Personenauto";"Totaal";"2009 juni";35492
"Personenauto";"Totaal";"2009 juli";33544
"Personenauto";"Totaal";"2009 augustus";27829
"Personenauto";"Totaal";"2009 september";33663
"Personenauto";"Totaal";"2009 oktober";35690
"Personenauto";"Totaal";"2009 november";27356
"Personenauto";"Totaal";"2009 december";8033
"Personenauto";"Totaal";"2010 januari";62798
"Personenauto";"Totaal";"2010 februari";37581
"Personenauto";"Totaal";"2010 maart";44753
"Personenauto";"Totaal";"2010 april";37546
"Personenauto";"Totaal";"2010 mei";36830
"Personenauto";"Totaal";"2010 juni";50683
"Personenauto";"Totaal";"2010 juli";38487
"Personenauto";"Totaal";"2010 augustus";36522
"Personenauto";"Totaal";"2010 september";45544
"Personenauto";"Totaal";"2010 oktober";43575
"Personenauto";"Totaal";"2010 november";36921
"Personenauto";"Totaal";"2010 december";11393
"Personenauto";"Totaal";"2011 januari";74787
"Personenauto";"Totaal";"2011 februari";49019
"Personenauto";"Totaal";"2011 maart";56601
"Personenauto";"Totaal";"2011 april";47637
"Personenauto";"Totaal";"2011 mei";49806
"Personenauto";"Totaal";"2011 juni";50499
"Personenauto";"Totaal";"2011 juli";42092
"Personenauto";"Totaal";"2011 augustus";39062
"Personenauto";"Totaal";"2011 september";44382
"Personenauto";"Totaal";"2011 oktober";43635
"Personenauto";"Totaal";"2011 november";41082
"Personenauto";"Totaal";"2011 december";17244
"Personenauto";"Totaal";"2012 januari";70170
"Personenauto";"Totaal";"2012 februari";43949
"Personenauto";"Totaal";"2012 maart";52333
"Personenauto";"Totaal";"2012 april";41032
"Personenauto";"Totaal";"2012 mei";47758
"Personenauto";"Totaal";"2012 juni";76116
"Personenauto";"Totaal";"2012 juli";30917
"Personenauto";"Totaal";"2012 augustus";32996
"Personenauto";"Totaal";"2012 september";31951
"Personenauto";"Totaal";"2012 oktober";26775
"Personenauto";"Totaal";"2012 november";30268
"Personenauto";"Totaal";"2012 december";18214
"Personenauto";"Totaal";"2013 januari";47957
"Personenauto";"Totaal";"2013 februari";31901
"Personenauto";"Totaal";"2013 maart";35559
"Personenauto";"Totaal";"2013 april";30408
"Personenauto";"Totaal";"2013 mei";30083
"Personenauto";"Totaal";"2013 juni";35043
"Personenauto";"Totaal";"2013 juli";30475
"Personenauto";"Totaal";"2013 augustus";28309
"Personenauto";"Totaal";"2013 september";31394
"Personenauto";"Totaal";"2013 oktober";36313
"Personenauto";"Totaal";"2013 november";40357
"Personenauto";"Totaal";"2013 december";38918
"Personenauto";"Totaal";"2014 januari";44368
"Personenauto";"Totaal";"2014 februari";33298
"Personenauto";"Totaal";"2014 maart";29366
"Personenauto";"Totaal";"2014 april";28282
"Personenauto";"Totaal";"2014 mei";30943
"Personenauto";"Totaal";"2014 juni";32699
"Personenauto";"Totaal";"2014 juli";29764
"Personenauto";"Totaal";"2014 augustus";25524
"Personenauto";"Totaal";"2014 september";29807
"Personenauto";"Totaal";"2014 oktober";35112
"Personenauto";"Totaal";"2014 november";32192
"Personenauto";"Totaal";"2014 december";36213
"Personenauto";"Totaal";"2015 januari";47623
"Personenauto";"Totaal";"2015 februari";33419
"Personenauto";"Totaal";"2015 maart";28642
"Personenauto";"Totaal";"2015 april";26995
"Personenauto";"Totaal";"2015 mei";27758
"Personenauto";"Totaal";"2015 juni";36838
"Personenauto";"Totaal";"2015 juli";33820
"Personenauto";"Totaal";"2015 augustus";30838
"Personenauto";"Totaal";"2015 september";35031
"Personenauto";"Totaal";"2015 oktober";38819
"Personenauto";"Totaal";"2015 november";40344
"Personenauto";"Totaal";"2015 december";68779
"Personenauto";"Totaal";"2016 januari";40542
"Personenauto";"Totaal";"2016 februari";28095
"Personenauto";"Totaal";"2016 maart";29626
"Personenauto";"Totaal";"2016 april";27610
"Personenauto";"Totaal";"2016 mei";28790
"Personenauto";"Totaal";"2016 juni";39249
"Personenauto";"Totaal";"2016 juli";31026
"Personenauto";"Totaal";"2016 augustus";26846
"Personenauto";"Totaal";"2016 september";33327
"Personenauto";"Totaal";"2016 oktober";29814
"Personenauto";"Totaal";"2016 november";32082
"Personenauto";"Totaal";"2016 december";35505
"Personenauto";"Totaal";"2017 januari";51121
"Personenauto";"Totaal";"2017 februari";31986
"Personenauto";"Totaal";"2017 maart";36589
"Personenauto";"Totaal";"2017 april";29182
"Personenauto";"Totaal";"2017 mei";36310
"Personenauto";"Totaal";"2017 juni";40785
"Personenauto";"Totaal";"2017 juli";32433
"Personenauto";"Totaal";"2017 augustus";29093
"Personenauto";"Totaal";"2017 september";35430
"Personenauto";"Totaal";"2017 oktober";36443
"Personenauto";"Totaal";"2017 november";37569
"Personenauto";"Totaal";"2017 december";17365
"Personenauto";"Totaal";"2018 januari";58745
"Personenauto";"Totaal";"2018 februari";35015
"Personenauto";"Totaal";"2018 maart";41919
"Personenauto";"Totaal";"2018 april";33852
"Personenauto";"Totaal";"2018 mei";36710
"Personenauto";"Totaal";"2018 juni";46746
"Personenauto";"Totaal";"2018 juli";36110
"Personenauto";"Totaal";"2018 augustus";40918
"Personenauto";"Totaal";"2018 september";29301
"Personenauto";"Totaal";"2018 oktober";29763
"Personenauto";"Totaal";"2018 november";34608
"Personenauto";"Totaal";"2018 december";19842
"Personenauto";"Totaal";"2019 januari";47164
"Personenauto";"Totaal";"2019 februari";29780
"Personenauto";"Totaal";"2019 maart";38507
"Personenauto";"Totaal";"2019 april";32701
"Personenauto";"Totaal";"2019 mei";36601
"Personenauto";"Totaal";"2019 juni";41026
"Personenauto";"Totaal";"2019 juli";33540
"Personenauto";"Totaal";"2019 augustus";33724
"Personenauto";"Totaal";"2019 september";37707
"Personenauto";"Totaal";"2019 oktober";33772
"Personenauto";"Totaal";"2019 november";39092
