"Wegvoertuigen";"Brandstofsoort voertuig";"Perioden";"Totaal verkochte wegvoertuigen (aantal)"
"Personenauto";"Totaal";"2007 januari";"  311829"
"Personenauto";"Totaal";"2007 februari";"  268567"
"Personenauto";"Totaal";"2007 maart";"  299452"
"Personenauto";"Totaal";"2007 april";"  254358"
"Personenauto";"Totaal";"2007 mei";"  274026"
"Personenauto";"Totaal";"2007 juni";"  316809"
"Personenauto";"Totaal";"2007 juli";"  282414"
"Personenauto";"Totaal";"2007 augustus";"  274364"
"Personenauto";"Totaal";"2007 september";"  257636"
"Personenauto";"Totaal";"2007 oktober";"  279660"
"Personenauto";"Totaal";"2007 november";"  266607"
"Personenauto";"Totaal";"2007 december";"  200263"
"Personenauto";"Totaal";"2008 januari";"  306999"
"Personenauto";"Totaal";"2008 februari";"  283999"
"Personenauto";"Totaal";"2008 maart";"  280555"
"Personenauto";"Totaal";"2008 april";"  281919"
"Personenauto";"Totaal";"2008 mei";"  275776"
"Personenauto";"Totaal";"2008 juni";"  279833"
"Personenauto";"Totaal";"2008 juli";"  265732"
"Personenauto";"Totaal";"2008 augustus";"  250037"
"Personenauto";"Totaal";"2008 september";"  266321"
"Personenauto";"Totaal";"2008 oktober";"  280427"
"Personenauto";"Totaal";"2008 november";"  236394"
"Personenauto";"Totaal";"2008 december";"  204213"
"Personenauto";"Totaal";"2009 januari";"  281576"
"Personenauto";"Totaal";"2009 februari";"  244787"
"Personenauto";"Totaal";"2009 maart";"  267139"
"Personenauto";"Totaal";"2009 april";"  248361"
"Personenauto";"Totaal";"2009 mei";"  257483"
"Personenauto";"Totaal";"2009 juni";"  277505"
"Personenauto";"Totaal";"2009 juli";"  265499"
"Personenauto";"Totaal";"2009 augustus";"  226909"
"Personenauto";"Totaal";"2009 september";"  248177"
"Personenauto";"Totaal";"2009 oktober";"  263673"
"Personenauto";"Totaal";"2009 november";"  229582"
"Personenauto";"Totaal";"2009 december";"  199059"
"Personenauto";"Totaal";"2010 januari";"  271980"
"Personenauto";"Totaal";"2010 februari";"  247885"
"Personenauto";"Totaal";"2010 maart";"  292252"
"Personenauto";"Totaal";"2010 april";"  268787"
"Personenauto";"Totaal";"2010 mei";"  251616"
"Personenauto";"Totaal";"2010 juni";"  288462"
"Personenauto";"Totaal";"2010 juli";"  260570"
"Personenauto";"Totaal";"2010 augustus";"  254714"
"Personenauto";"Totaal";"2010 september";"  282578"
"Personenauto";"Totaal";"2010 oktober";"  288650"
"Personenauto";"Totaal";"2010 november";"  264221"
"Personenauto";"Totaal";"2010 december";"  224106"
"Personenauto";"Totaal";"2011 januari";"  305815"
"Personenauto";"Totaal";"2011 februari";"  282487"
"Personenauto";"Totaal";"2011 maart";"  307314"
"Personenauto";"Totaal";"2011 april";"  278626"
"Personenauto";"Totaal";"2011 mei";"  291183"
"Personenauto";"Totaal";"2011 juni";"  289144"
"Personenauto";"Totaal";"2011 juli";"  278119"
"Personenauto";"Totaal";"2011 augustus";"  266450"
"Personenauto";"Totaal";"2011 september";"  272718"
"Personenauto";"Totaal";"2011 oktober";"  271824"
"Personenauto";"Totaal";"2011 november";"  267354"
"Personenauto";"Totaal";"2011 december";"  230448"
"Personenauto";"Totaal";"2012 januari";"  307540"
"Personenauto";"Totaal";"2012 februari";"  266649"
"Personenauto";"Totaal";"2012 maart";"  295150"
"Personenauto";"Totaal";"2012 april";"  259846"
"Personenauto";"Totaal";"2012 mei";"  272892"
"Personenauto";"Totaal";"2012 juni";"  323370"
"Personenauto";"Totaal";"2012 juli";"  277027"
"Personenauto";"Totaal";"2012 augustus";"  251967"
"Personenauto";"Totaal";"2012 september";"  245428"
"Personenauto";"Totaal";"2012 oktober";"  254467"
"Personenauto";"Totaal";"2012 november";"  242628"
"Personenauto";"Totaal";"2012 december";"  203297"
"Personenauto";"Totaal";"2013 januari";"  272374"
"Personenauto";"Totaal";"2013 februari";"  246149"
