,Jaar_Maand,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie,Datum,Log_NewBusiness,Log_Royementen,Log_Prolongaties
0,201501,115580,48395329.24,116458,48739723.42,2815,1258591.55,1770,771941.1299999999,9317,3883883.32,3812870.8299999996,7172,3065708.96,3028827.8200000003,505.4739857272727,504.35594136363636,-71012.49,463.38737218181814,460.1454218181818,2015-01-01,7.943072717277933,7.479299637782834,9.139703292376742
1,201502,116458,48739723.42,117233,48975401.4,2329,1019448.11,1449,644482.5,7368,3062727.92,2984456.24,5573,2362270.72,2345039.69,504.35594136363636,501.76347263636364,-78271.68,484.11576563636356,476.8744820909091,2015-02-01,7.753623546559746,7.27931883541462,8.905037290767
2,201503,117234,48975848.17,118061,49327829.5,2586,1129439.25,1614,676268.06,7765,3243767.93,3172419.33,5850,2473545.44,2466842.11,497.18068324999996,502.3063511666667,-71348.6,462.9763009166666,451.00006041666666,2015-03-01,7.8582541821860294,7.387090235656757,8.957510510291613
3,201504,118062,49328357.04,118463,49487040.46,2105,933827.22,1607,695025.42,8006,3360019.02,3297277.44,5480,2308051.23,2301858.77,504.2474010769231,498.80403046153845,-62741.58,422.6260815384615,418.47750284615387,2015-04-01,7.652545692693921,7.382746449738912,8.988071438072634
4,201505,118463,49487040.46,118877,49682125.51,2104,982225.5800000001,1575,686604.71,7706,3251639.75,3189469.2,5264,2278800.45,2263010.33,498.80403046153845,493.65383153846153,-62170.549999999996,426.6936640769231,417.13460961538465,2015-05-01,7.652070746116482,7.362645270417825,8.949884285777994
5,201506,118879,49682601.6,119367,49916935.910000004,2103,984939.5,1483,624342.9700000001,8219,3529731.3800000004,3455848.44,5170,2242490.58,2216654.13,475.3960578571428,488.3337487857143,-73882.94,399.52219535714283,390.27597164285714,2015-06-01,7.651595573857601,7.302496423727326,9.014325488050225
6,201507,119417,49946521.339999996,120200,50331274.64,2439,1151801.15,1558,683440.6699999999,6234,2598624.73,2562379.23,5231,2295747.7,2275212.99,495.22540553333334,494.5373724666667,-36245.5,365.2122232666667,366.1171156,2015-07-01,7.799753318287247,7.351799869057777,8.737933858114136
7,201508,120200,50331274.64,120721,50663843.09,2123,990441.38,1469,620516.44,7321,3078694.46,3092254.83,3339,1454387.11,1442149.42,494.5373724666667,489.52782706666665,13560.370000000003,370.9449568666667,371.0820298,2015-08-01,7.66105638236183,7.293017679772782,8.898638793680181
8,201509,120721,50663843.09,121303,50977673.24,2212,1021415.26,1468,640208.39,7338,3056580.55,3070893.71,3331,1475895.08,1426954.5899999999,489.5278270666667,487.00266486666663,14313.16,361.95058233333333,361.85100500000004,2015-09-01,7.70210434005105,7.292337176173877,8.900957872545062
9,201510,121313,50982987.13,122057,51426916.12,2418,1135058.45,1553,656181.22,8619,3570802.4,3585446.52,3680,1603342.82,1591256.59,507.77287417647057,509.4130249411765,14644.119999999999,320.80619911764705,325.89411794117643,2015-10-01,7.791109510610028,7.348587530927593,9.061840363657739
10,201511,122057,51426916.12,122621,51770163.129999995,2228,1074993.76,1548,687054.1799999999,8748,3627312.15,3635794.79,3764,1664135.06,1646756.26,509.4130249411765,510.9034924117647,8482.640000000001,323.56904235294115,323.17580599999997,2015-11-01,7.709308333385869,7.3453648404168685,9.076694687106265
11,201512,122621,51770163.129999995,123071,52130262.0,2122,1050973.59,1559,664239.0700000001,7997,3242514.86,3254950.13,3544,1533363.64,1525725.52,510.9034924117647,511.0489532941176,12435.27,312.0991063529412,309.3369291764706,2015-12-01,7.660585461703256,7.352441100243583,8.986946789406764
12,201601,123071,52130262.00000001,123977,52660928.56,2774,1343602.03,1701,770911.88,10242,4277607.0,4307729.84,4410,1963303.5,1939099.23,511.0489532941176,510.5620133529412,30122.84,330.8204935882353,337.7111262941176,2016-01-01,7.928406026180535,7.43955930913332,9.234349824436535
13,201602,123977,52660928.56,124346,52966484.379999995,2093,1004934.9,1595,701947.3899999999,8059,3322349.77,3350769.23,3521,1556193.1700000002,1560421.32,510.5620133529412,510.4814277647059,28419.46,334.03118911764705,335.1692587647059,2016-02-01,7.646831391430482,7.3752557780097545,8.994668835500674
14,201603,124348,52967526.29,124998,53412004.78,2348,1123144.8,1581,683330.5,8695,3617787.3,3673343.7,3711,1702186.32,1690206.42,511.0632928888889,515.6288682222222,55556.4,325.0464978888889,327.7573619444445,2016-03-01,7.761744984658913,7.366445148327599,9.070618428801046
15,201604,125025,53429503.47,125742,53922073.42,2488,1191825.31,1660,752346.36,8467,3543392.35,3616414.02,3566,1613776.33,1625381.24,522.6010135263158,518.4971362631579,73021.67,338.65571147368416,347.3743616842105,2016-04-01,7.819636302367592,7.415175109613295,9.044049632254756
16,201605,125742,53922073.42,126788,54561008.78,2747,1278943.1,1615,697836.9,8261,3519712.42,3601551.85,3526,1602745.31,1603484.9200000002,518.4971362631579,514.9205283157895,81839.43,347.9822707894737,353.90322536842103,2016-05-01,7.91862865334224,7.38770923908104,9.01942196795671
17,201606,126788,54561008.78,128322,55501833.25,3181,1525961.97,1568,672130.83,8809,3776575.32,3863385.4299999997,3783,1754490.27,1782706.67,514.9205283157895,517.9462551052632,86810.11,393.0408272105263,394.2438408947369,2016-06-01,8.065265208897733,7.358193752733032,9.083642718930225
18,201607,128322,55501833.25,129444,56222726.29,2874,1384435.16,1648,702722.66,8668,3712486.75,3779242.09,3747,1709196.3599999999,1725634.6099999999,517.9462551052632,513.8222088421053,66755.34,363.97071226315785,369.9778952105263,2016-07-01,7.963807953231451,7.407924322559599,9.06750872286864
19,201608,129444,56222726.29,130413,56756646.279999994,2625,1208952.48,1600,713631.42,8037,3449316.79,3497077.7300000004,3336,1559273.93,1571577.81,513.8222088421053,515.0142442105264,47760.939999999995,381.13147178947366,383.54059710526315,2016-08-01,7.873217054862741,7.3783837129967145,8.991935575009146
20,201609,130413,56756646.279999994,131455,57349721.519999996,2747,1292436.9000000001,1625,714506.71,8035,3414578.0700000003,3460491.66,3578,1608970.46,1608306.96,515.0142442105264,511.64487342105264,45913.590000000004,426.3679454736842,427.1616210526316,2016-09-01,7.91862865334224,7.3938782901077555,8.991686725934825
21,201610,131455,57349721.52,132586,58050204.410000004,2862,1357330.9,1655,721775.8,9359,3995534.4000000004,4065122.43,3998,1841528.5799999998,1866141.35,511.64487342105264,503.0688327894736,69588.03,412.1735517368421,414.4058942631579,2016-10-01,7.959625305098115,7.412160334945205,9.144200569471638
22,201611,132586,58050204.410000004,133696,58744759.72,2878,1382036.9500000002,1678,732163.77,9327,3989169.76,4044551.31,3598,1657890.4,1674035.97,503.0688327894736,507.56228521052634,55381.55,393.52930468421056,401.35563394736846,2016-11-01,7.965198290612176,7.425953657077541,9.140775908590273
23,201612,133696,58744759.72,134812,59373386.22,2845,1362250.0,1643,755773.67,8605,3657311.96,3713107.35,3540,1614363.49,1614607.8699999999,507.56228521052634,508.96367252631575,55795.38999999999,380.0281637368421,383.8557692105263,2016-12-01,7.953669778649798,7.404887575616125,9.060214913398545
24,201701,134817,59377522.25,136320,60271963.36,3544,1737745.3499999999,1906,860327.29,11251,4834163.600000001,4885614.29,4378,2032958.66,2052964.32,524.8757889,536.07201975,51450.689999999995,381.1861106,380.1306763,2017-01-01,8.173293438966228,7.553286605600419,9.328301169609748
25,201702,136320,60271963.36,137290,60855112.68,2738,1323771.22,1674,742160.61,8836,3776399.04,3796843.82,3383,1563098.0,1579921.39,536.07201975,533.6894479,20444.780000000002,387.76442480000003,386.500312,2017-02-01,7.915348169263078,7.423568444259167,9.086702731518004
26,201703,137290,60855112.68,138560,61602489.919999994,3169,1549768.36,1821,801622.3200000001,9482,4110282.54,4130956.4999999995,3559,1692526.9,1702449.25,533.6894479,532.19725495,20673.960000000003,473.39059340000006,473.96775564999996,2017-03-01,8.061486866871327,7.507690077819904,9.157256000883727
27,201704,138560,61602489.92,139717,62225222.36,2827,1366949.5,1591,718276.87,9433,4136634.58,4142215.35,3592,1747080.6099999999,1752211.2,532.19725495,536.92621255,5580.77,440.3402223,440.25928089999996,2017-04-01,7.947325027016463,7.3727463664043285,9.152075463844207
28,201705,139717,62225222.36,140427,62639449.12,2487,1253338.09,1679,787394.66,9428,4144071.9699999997,4127367.12,3361,1601826.58,1614131.07,536.9262125500001,534.5599942,-16704.85,438.69547365,441.99555535,2017-05-01,7.81923445385907,7.426549072397305,9.151545325465678
29,201706,140427,62639449.12,140990,63265957.09,2262,1194842.6400000001,1576,719939.1,10095,4526849.22,4730947.19,3583,1788429.55,1805711.94,534.5599942,540.00120755,204097.97,455.6862569,465.24902375,2017-06-01,7.724446645633537,7.3632795869630385,9.219894584780995
30,201707,140990,63265957.09,141370,63800632.78,2191,1167652.57,1734,819296.01,9743,4335258.38,4537675.96,3577,1787621.1,1802632.9100000001,540.00120755,538.8752988,202417.58000000002,489.32382859999996,495.21469735,2017-07-01,7.692569648067906,7.45876269238096,9.184406989949679
31,201708,141370,63800632.78,141626,64235107.52,1956,1005821.61,1595,729690.6699999999,9032,3969981.6,4152763.26,3262,1585649.88,1611834.23,538.8752988,536.4197737000001,182781.66,481.51838054999996,484.53894305000006,2017-08-01,7.579167967396076,7.3752557780097545,9.108639817149843
32,201709,141626,64235107.52,141958,64703126.34,2047,1060190.87,1630,767130.02,9029,3944581.22,4148497.34,3405,1684187.77,1696298.03,536.4197737000001,535.2475209500001,203916.12,464.47346685,478.1338829,2017-09-01,7.6246189861593985,7.396948602621014,9.108307646411031
33,201710,141958,64703126.34,141993,65123326.91,1961,1031312.06,1795,826189.09,10407,4579096.69,4844196.100000001,3659,1821488.12,1823687.42,535.2475209500001,537.66263085,265099.41000000003,464.31846375000003,480.94005015000005,2017-10-01,7.581719640125308,7.493317248862145,9.250330020192342
34,201711,141993,65123326.910000004,142338,65716662.56,2205,1185349.72,1750,828540.15,10347,4565921.49,4835833.04,3618,1868133.44,1882781.3499999999,537.66263085,538.670183,269911.55,495.0303073,511.0959435,2017-11-01,7.698936199813447,7.467942332285852,9.24454854330592
35,201712,142338,65716662.56,142695,66274974.28,2131,1122739.49,1665,782225.02,9628,4255429.2,4506909.09,3474,1720885.85,1733444.34,538.670183,533.45662825,251479.89,523.0361679,540.9237298,2017-12-01,7.664815785285735,7.418180822726788,9.172534657240284
36,201801,142695,66274974.28,146695,68906669.64,6282,3202688.21,2131,1013722.6,12478,5549098.61,6035568.33,4891,2505540.04,2519962.23,533.45662825,519.5778308,486469.72,548.6994815999999,583.53569415,2018-01-01,8.745602852402946,7.664815785285735,9.431802510507854
37,201802,146695,68906669.64,146765,69479732.11,2003,1106105.4,1832,877672.69,9621,4250047.92,4615318.11,3448,1788560.61,1811057.16,519.5778308,520.8984341500001,365270.19,519.46874565,560.26244935,2018-02-01,7.602900462204755,7.513709247839705,9.171807422259398
38,201803,146765,69479732.11,147001,70177868.24,2257,1235336.52,1905,910499.34,10506,4676614.46,5076848.95,3788,1961815.41,1985838.5899999999,520.8984341500001,523.64304175,400234.49,523.29349665,560.09731625,2018-03-01,7.722234744709607,7.552762084214147,9.259796980688776
39,201804,147001,70177868.24,147080,70770802.78,1909,1056355.83,1710,822488.66,10317,4587683.17,4969172.31,3532,1816652.68,1852154.89,523.64304175,526.7551575,381489.14,524.48130765,553.6358191,2018-04-01,7.554858521040676,7.444833273892193,9.241645221804594
