,Royementen_Act,Royementen_Pred,Royementen_%,NewBusiness_Act,NewBusiness_Pred,NewBusiness_%,Prolongaties_Act,Prolongaties_Pred,Prolongaties_%,Netto_Act,Netto_Pred,Netto_%
2024-01,1953,1998,2.3,2788,2727,2.2,13351,13484,1.0,835,729,12.7
2024-02,1774,1810,2.0,2695,2272,15.7,9947,9702,2.5,921,462,49.8
2024-03,1807,1883,4.2,2948,2530,14.2,11151,10577,5.1,1141,647,43.3
2024-04,1874,1757,6.2,2165,2222,2.6,10185,9962,2.2,291,465,59.8
2024-05,1774,1747,1.5,2265,2205,2.6,10237,10107,1.3,491,458,6.7
2024-06,1772,1740,1.8,2376,2272,4.4,10959,10559,3.6,604,532,11.9
2024-07,1755,1809,3.1,2301,2149,6.6,10985,10945,0.4,546,340,37.7
2024-08,1714,1713,0.1,2216,1967,11.2,9893,9595,3.0,502,254,49.4
2024-09,1613,1727,7.1,2128,2065,3.0,10277,10054,2.2,515,338,34.4
2024-10,2798,1837,34.3,3825,2141,44.0,11685,10937,6.4,1027,304,70.4
2024-11,2227,1836,17.6,2589,2223,14.1,11959,11043,7.7,362,387,6.9
2024-12,2137,1844,13.7,2529,2157,14.7,10940,10157,7.2,392,313,20.2
