,Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie,CBS_Autoverkopen_Totaal,CPI_Verzekeringen_Vervoer,Jaarmutatie_CPI_Verzekeringen_Vervoer,CPI_Nieuwe_Autos,Jaarmutatie_CPI_Nieuwe_Autos,CPI_Tweedehands_Autos,Jaarmutatie_CPI_Tweedehands_Autos,CPI_Onderhoud_en_Reparatie_Privevoertuigen,Jaarmutatie_CPI_Onderhoud_en_Reparatie_Privevoertuigen,CPI_Brandstoffen,Jaarmutatie_CPI_Brandstoffen
0,201507,Auto Particulier,BCS Polis,50,29585.43,106,59337.54,56,28886.31,0,0.0,0,0.0,0.0,38,20242.19,21107.99,591.7086,559.788113,0.0,0.0,0.0,260815,100.09,3.9,99.73,3.2,99.55,1.6,100.25,1.4,105.52,-6.8
1,201508,Auto Particulier,BCS Polis,106,59337.54,168,91685.32,65,32911.85,1,372.97,0,0.0,0.0,46,21866.59,22007.44,559.788113,545.745952,0.0,0.0,0.0,232190,100.12,4.2,99.73,2.7,99.88,0.7,100.11,1.0,100.42,-9.7
2,201509,Auto Particulier,BCS Polis,168,91685.32,216,111434.76,54,23342.33,6,4892.77,0,0.0,0.0,26,12065.7,13365.58,545.745952,515.901666,0.0,0.0,0.0,255645,100.24,3.3,100.27,3.5,100.41,1.6,100.17,1.0,96.83,-13.5
3,201510,Auto Particulier,BCS Polis,216,111434.76,265,133615.83,57,26433.61,6,3611.0,0,0.0,0.0,45,23305.39,23313.57,515.901666,504.210679,0.0,0.0,0.0,271074,100.21,2.3,100.31,3.4,100.54,1.8,100.27,1.0,95.32,-12.4
4,201511,Auto Particulier,BCS Polis,265,133615.83,309,157925.46,49,26034.01,5,2195.18,0,0.0,0.0,27,14114.42,14585.22,504.210679,511.085631,0.0,0.0,0.0,255282,100.32,2.3,100.4,3.5,100.98,2.0,100.26,0.6,96.82,-8.6
5,201512,Auto Particulier,BCS Polis,309,157925.46,362,189921.27,55,29052.72,2,408.54,0,0.0,0.0,39,20897.45,24309.15,511.085631,524.644392,0.0,0.0,0.0,294494,100.5,2.5,100.4,3.5,101.05,1.5,100.77,1.0,93.12,-7.1
6,201601,Auto Particulier,BCS Polis,362,189921.27,414,213983.45,55,24711.91,4,1784.53,0,0.0,0.0,31,14000.11,14485.19,524.644392,516.868236,0.0,0.0,0.0,277579,100.7,1.0,101.82,1.7,100.27,1.1,101.41,1.3,90.5,-5.0
7,201602,Auto Particulier,BCS Polis,414,213983.45,461,238785.32,53,26840.31,6,2986.99,0,0.0,0.0,36,18862.39,19810.94,516.868236,517.972494,0.0,0.0,0.0,262034,100.38,0.7,101.7,1.7,100.13,1.2,102.03,3.4,88.61,-10.2
8,201603,Auto Particulier,BCS Polis,461,238785.32,515,266500.13,60,31453.63,7,5316.63,0,0.0,0.0,35,19659.15,20001.37,517.972494,517.47598,0.0,0.0,0.0,278227,100.61,0.9,101.76,1.7,100.37,0.6,101.53,1.9,90.14,-12.2
9,201604,Auto Particulier,BCS Polis,515,266500.13,565,295008.22,56,30534.9,6,3312.62,0,0.0,0.0,32,15753.59,17039.4,517.47598,522.138442,0.0,0.0,0.0,264313,103.44,3.7,101.75,2.1,100.69,1.3,102.68,2.8,93.06,-10.4
