,Royementen,NewBusiness,Prolongaties,Netto_Mutatie
2026-01-01,2717.5774636615956,2194.474656811743,15077.706202420115,-523.1028068498526
2026-02-01,2446.832117753461,1978.2779858316492,11733.440408767041,-468.55413192181163
2026-03-01,2562.4938354623782,2245.6840549618482,13124.45638200627,-316.80978050053
2026-04-01,2394.5519393057734,1855.0012264360378,11444.365877453285,-539.5507128697357
2026-05-01,2396.7330316427597,1910.2666905621134,11593.452190379061,-486.4663410806463
2026-06-01,2375.39921960054,2019.8244949203008,12329.334876861907,-355.57472468023934
2026-07-01,2447.020152528986,2024.3061621108689,12185.258316422802,-422.71399041811696
2026-08-01,2345.7389515322902,1872.5488957584153,11061.245355450752,-473.190055773875
2026-09-01,2326.647920157186,1862.2275332494576,11367.878896169235,-464.42038690772847
2026-10-01,2608.4907889794786,2312.1409620176196,12457.719446154912,-296.349826961859
2026-11-01,2567.342621864056,2106.1258462105407,12829.535039624856,-461.21677565351547
2026-12-01,2531.6244137970043,2021.4686998037732,11834.697746632495,-510.1557139932311
