Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie,CBS_Autoverkopen_Totaal,CPI_Verzekeringen_Vervoer,Jaarmutatie_CPI_Verzekeringen_Vervoer,CPI_Nieuwe_Autos,Jaarmutatie_CPI_Nieuwe_Autos,CPI_Tweedehands_Autos,Jaarmutatie_CPI_Tweedehands_Autos,CPI_Onderhoud_en_Reparatie_Privevoertuigen,Jaarmutatie_CPI_Onderhoud_en_Reparatie_Privevoertuigen,CPI_Brandstoffen,Jaarmutatie_CPI_Brandstoffen,Datum,Year,Maand,Kwartaal,Is_Year_Start,Sin_Maand,Cos_Maand,Royementen_lag1,Royementen_lag2,Royementen_lag3,Royementen_lag6,Royementen_lag12,NewBusiness_lag1,NewBusiness_lag2,NewBusiness_lag3,NewBusiness_lag6,NewBusiness_lag12,Prolongaties_lag1,Prolongaties_lag2,Prolongaties_lag3,Prolongaties_lag6,Prolongaties_lag12,Royementen_roll_mean6,Royementen_roll_std3,NewBusiness_roll_mean6,NewBusiness_roll_std3,Prolongaties_roll_mean6,Prolongaties_roll_std3,Royementen_diff1,Royementen_pct_change1,NewBusiness_diff1,NewBusiness_pct_change1,Prolongaties_diff1,Prolongaties_pct_change1,CPI_Maintenance_vs_Insurance,CPI_Used_vs_New_Car_Trend,Total_Auto_Inflation_Index,Premium_vs_New_Car_Price_Index,CPI_Brandstoffen_Lag3,Insurance_Price_Shock,Prolongatie_Pct_Increase,Avg_Premium_Per_New_Policy,New_vs_Existing_Premium_Gap,Avg_Premium_Churned_Policy,Avg_Mutation_Premium_Impact,Portfolio_Yield_Trend,New_Business_Risk_Premium_Ratio,Royementen_acceleration,NewBusiness_acceleration,Prolongaties_acceleration,Premium_Market_Density,Portfolio_Value_Growth_Ratio,Months_Since_Year_Start,Retention_Rate,Market_Capture_Index,Label_Historical_Avg_Royementen
201507,Auto Particulier,BCS Polis,50,29585.43,106,59337.54,56,28886.31,0,0.0,0,0.0,0.0,38,20242.19,21107.99,591.7086,559.788113,0.0,0.0,0.0,260815,100.09,3.9,99.73,3.2,99.55,1.6,100.25,1.4,105.52,-6.8,2015-07-01,2015,7,3,0,-0.4999999999999998,-0.8660254037844388,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,-1.6,-0.5000000000000001,0.6999999999999997,,0,,515.8269642857143,0.8717584369835326,,22.784210526315867,0.9460537044754799,0.8717584369835326,,,,0.11075402104940284,2.0056338542316268,6,1.0,0.00021471157717155837,26.023809523809526
201508,Auto Particulier,BCS Polis,106,59337.54,168,91685.32,65,32911.85,1,372.97,0,0.0,0.0,46,21866.59,22007.44,559.788113,545.745952,0.0,0.0,0.0,232190,100.12,4.2,99.73,2.7,99.88,0.7,100.11,1.0,100.42,-9.7,2015-08-01,2015,8,3,0,-0.8660254037844384,-0.5000000000000004,0.0,,,,,56.0,,,,,0.0,,,,,,,,,,,1.0,0.0,9.0,0.1607142857142858,0.0,,-3.2,-2.0,-1.4999999999999998,1.5,,0,,506.3361538461538,0.9045139439146216,372.97,3.061956521739099,0.9749152211811972,0.9045139439146216,,,,0.14174533786984797,1.5451486529438194,7,0.9905660377358491,0.0002799431500064602,26.023809523809526
201509,Auto Particulier,BCS Polis,168,91685.32,216,111434.76,54,23342.33,6,4892.77,0,0.0,0.0,26,12065.7,13365.58,545.745952,515.901666,0.0,0.0,0.0,255645,100.24,3.3,100.27,3.5,100.41,1.6,100.17,1.0,96.83,-13.5,2015-09-01,2015,9,3,0,-1.0,-1.8369701987210297e-16,1.0,0.0,,,,65.0,56.0,,,,0.0,0.0,,,,,,,,,,5.0,5.0,-11.0,-0.16923076923076918,0.0,,-2.3,-1.9,-3.0666666666666664,-0.20000000000000018,,0,,432.2653703703704,0.7920633561939282,815.4616666666667,49.99538461538459,0.9453146910377817,0.7920633561939282,4.0,-20.0,0.0,0.09130759451583251,1.2154046034850507,8,0.9642857142857143,0.00021123041718007393,26.023809523809526
201510,Auto Particulier,BCS Polis,216,111434.76,265,133615.83,57,26433.61,6,3611.0,0,0.0,0.0,45,23305.39,23313.57,515.901666,504.210679,0.0,0.0,0.0,271074,100.21,2.3,100.31,3.4,100.54,1.8,100.27,1.0,95.32,-12.4,2015-10-01,2015,10,4,0,-0.8660254037844386,0.5000000000000001,6.0,1.0,0.0,,,54.0,65.0,56.0,,,0.0,0.0,0.0,,,,3.2145502536643185,,5.859465277082316,,0.0,0.0,0.0,3.0,0.05555555555555558,0.0,,-1.2999999999999998,-1.5999999999999999,-3.0333333333333337,-1.1,-6.8,0,,463.7475438596491,0.8989068545858294,601.8333333333334,0.18177777777778426,0.977338729896639,0.8989068545858294,-5.0,14.0,0.0,0.09751436877015132,1.199049829694074,9,0.9722222222222222,0.00021027468514132672,26.023809523809526
201511,Auto Particulier,BCS Polis,265,133615.83,309,157925.46,49,26034.01,5,2195.18,0,0.0,0.0,27,14114.42,14585.22,504.210679,511.085631,0.0,0.0,0.0,255282,100.32,2.3,100.4,3.5,100.98,2.0,100.26,0.6,96.82,-8.6,2015-11-01,2015,11,4,0,-0.5000000000000004,0.8660254037844384,6.0,6.0,1.0,,,57.0,54.0,65.0,,,0.0,0.0,0.0,,,,2.886751345948129,,5.686240703077327,,0.0,-1.0,-0.16666666666666663,-8.0,-0.14035087719298245,0.0,,-1.6999999999999997,-1.5,-1.9000000000000001,-1.2000000000000002,-9.7,0,,531.3063265306122,1.0537387418774051,439.03599999999994,17.437037037037012,1.013635078125745,1.0537387418774051,-1.0,-11.0,0.0,0.10198137745708667,1.1819367510571166,10,0.9811320754716981,0.00019194459460518173,26.023809523809526
201512,Auto Particulier,BCS Polis,309,157925.46,362,189921.27,55,29052.72,2,408.54,0,0.0,0.0,39,20897.45,24309.15,511.085631,524.644392,0.0,0.0,0.0,294494,100.5,2.5,100.4,3.5,101.05,1.5,100.77,1.0,93.12,-7.1,2015-12-01,2015,12,4,0,-2.4492935982947064e-16,1.0,5.0,6.0,6.0,,,49.0,57.0,54.0,,,0.0,0.0,0.0,,,,0.5773502691896258,,4.041451884327381,,0.0,-3.0,-0.6,6.0,0.12244897959183665,0.0,,-1.5,-2.0,-1.2,-1.0,-13.5,0,,528.2312727272728,1.0335474931935091,204.27,87.4794871794872,1.026529333202874,1.0335474931935091,-2.0,14.0,0.0,0.09865301160634853,1.2026007079542462,11,0.9935275080906149,0.00018676102059804274,26.023809523809526
201601,Auto Particulier,BCS Polis,362,189921.27,414,213983.45,55,24711.91,4,1784.53,0,0.0,0.0,31,14000.11,14485.19,524.644392,516.868236,0.0,0.0,0.0,277579,100.7,1.0,101.82,1.7,100.27,1.1,101.41,1.3,90.5,-5.0,2016-01-01,2016,1,1,1,0.49999999999999994,0.8660254037844387,2.0,5.0,6.0,0.0,,55.0,49.0,57.0,56.0,,0.0,0.0,0.0,0.0,,3.3333333333333335,2.0816659994661326,56.0,4.163331998932266,0.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.30000000000000004,-0.5999999999999999,-0.9,-0.7,-12.4,0,,449.30745454545456,0.8564038068388512,446.1325,15.647741935483868,0.9851782347842193,0.8564038068388512,5.0,-6.0,0.0,0.08902658342309756,1.126695551267112,0,0.988950276243094,0.00019814179026511372,26.023809523809526
201602,Auto Particulier,BCS Polis,414,213983.45,461,238785.32,53,26840.31,6,2986.99,0,0.0,0.0,36,18862.39,19810.94,516.868236,517.972494,0.0,0.0,0.0,262034,100.38,0.7,101.7,1.7,100.13,1.2,102.03,3.4,88.61,-10.2,2016-02-01,2016,2,1,0,0.8660254037844386,0.5000000000000001,4.0,2.0,5.0,1.0,,55.0,55.0,49.0,65.0,,0.0,0.0,0.0,0.0,,4.0,1.5275252316519465,55.833333333333336,3.464101615137754,0.0,0.0,2.0,0.5,-2.0,-0.036363636363636376,0.0,,2.7,-0.5,-2.0333333333333328,-1.0,-8.6,0,,506.42094339622645,0.9797873193279891,497.83166666666665,26.34861111111109,1.002136440050071,0.9797873193279891,0.0,-2.0,0.0,0.10243063877206775,1.1159055525088506,1,0.9855072463768116,0.000202263828358152,26.023809523809526
201603,Auto Particulier,BCS Polis,461,238785.32,515,266500.13,60,31453.63,7,5316.63,0,0.0,0.0,35,19659.15,20001.37,517.972494,517.47598,0.0,0.0,0.0,278227,100.61,0.9,101.76,1.7,100.37,0.6,101.53,1.9,90.14,-12.2,2016-03-01,2016,3,1,0,1.0,6.123233995736766e-17,6.0,4.0,2.0,6.0,,53.0,55.0,55.0,54.0,,0.0,0.0,0.0,0.0,,4.833333333333333,1.9999999999999998,53.833333333333336,1.1547005383792526,0.0,0.0,1.0,0.16666666666666674,7.0,0.13207547169811318,0.0,,0.9999999999999999,-1.1,-3.133333333333333,-0.7999999999999999,-7.1,0,,524.2271666666667,1.0120752988606896,759.5185714285715,9.777714285714215,0.9990414278639284,1.0120752988606896,-1.0,9.0,0.0,0.11305024314678302,1.1160658033751822,2,0.9848156182212582,0.00021565124880043994,26.023809523809526
201604,Auto Particulier,BCS Polis,515,266500.13,565,295008.22,56,30534.9,6,3312.62,0,0.0,0.0,32,15753.59,17039.4,517.47598,522.138442,0.0,0.0,0.0,264313,103.44,3.7,101.75,2.1,100.69,1.3,102.68,2.8,93.06,-10.4,2016-04-01,2016,4,2,0,0.8660254037844387,-0.49999999999999983,7.0,6.0,4.0,6.0,,60.0,53.0,55.0,57.0,,0.0,0.0,0.0,0.0,,5.0,1.5275252316519463,54.833333333333336,3.6055512754639896,0.0,0.0,-1.0,-0.1428571428571429,-4.0,-0.06666666666666665,0.0,,-0.9000000000000004,-0.8,-1.3,1.6,-5.0,0,,545.2660714285714,1.0537031524218214,552.1033333333334,40.18156250000004,1.009010006609389,1.0537031524218214,-2.0,-11.0,0.0,0.11552553222883476,1.106972142940418,3,0.9883495145631068,0.00021187001774411397,26.023809523809526
