,Royementen_Act,Royementen_Pred,Royementen_%,NewBusiness_Act,NewBusiness_Pred,NewBusiness_%,Prolongaties_Act,Prolongaties_Pred,Prolongaties_%,Netto_Act,Netto_Pred,Netto_%
2025-01,2611,2299,11.9,2836,2975,4.9,14523,14471,0.4,225,676,200.4
2025-02,2240,2060,8.0,2566,2648,3.2,11385,10684,6.2,326,588,80.4
2025-03,2375,2179,8.3,2835,2997,5.7,12729,11905,6.5,460,818,77.8
2025-04,2374,1983,16.5,2064,2788,35.1,10986,10930,0.5,-310,805,359.7
2025-05,2382,2007,15.7,2043,2912,42.5,11143,11002,1.3,-339,905,367.0
2025-06,2310,1994,13.7,1988,2988,50.3,11842,11726,1.0,-322,994,408.7
2025-07,2498,2062,17.5,2083,2973,42.7,11660,11826,1.4,-415,911,319.5
2025-08,2313,1974,14.7,1896,2661,40.3,10609,10597,0.1,-417,687,264.7
2025-09,2220,1980,10.8,1746,2868,64.3,10877,11028,1.4,-474,888,287.3
2025-10,2611,2025,22.4,2187,3057,39.8,11847,12438,5.0,-424,1032,343.4
2025-11,2422,2092,13.6,1845,3113,68.7,12220,12699,3.9,-577,1021,276.9
2025-12,2441,2068,15.3,1829,3325,81.8,11289,11631,3.0,-612,1257,305.4
