,Royementen,NewBusiness,Prolongaties,Netto_Mutatie
2026-01-01,2717.5774636615956,1903.8416902517802,15077.706202420115,-813.7357734098155
2026-02-01,2446.832117753461,1726.4839896872954,11733.440408767041,-720.3481280661654
2026-03-01,2562.4938354623782,1926.546634329872,13124.45638200627,-635.9472011325063
2026-04-01,2394.5519393057734,1682.5969902460984,11444.365877453285,-711.9549490596751
2026-05-01,2396.7330316427597,1749.1256343021842,11593.452190379061,-647.6073973405755
2026-06-01,2375.39921960054,1788.7502701807912,12329.334876861907,-586.648949419749
2026-07-01,2447.020152528986,1795.6844095822266,12185.258316422802,-651.3357429467592
2026-08-01,2345.7389515322902,1618.137004007491,11061.245355450752,-727.6019475247992
2026-09-01,2326.647920157186,1685.089027762482,11367.878896169235,-641.5588923947041
2026-10-01,2608.4907889794786,1886.9074976059037,12457.719446154912,-721.5832913735749
2026-11-01,2567.342621864056,1774.0094590469503,12829.535039624856,-793.3331628171059
2026-12-01,2531.6244137970043,1861.9780984728372,11834.697746632495,-669.6463153241671
