Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie
200001,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200002,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200003,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200004,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200005,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200006,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200007,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200008,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200009,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200010,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200011,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200012,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200101,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200102,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200103,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200104,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200105,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200106,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200107,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200108,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200109,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200110,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200111,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200112,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200201,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200202,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200203,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
200204,NULL,NULL,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0.00,0.00,0.000000,0.000000,0.00,0.000000,0.000000
201507,Auto Particulier,BCS Polis,50,29585.43,106,59337.54,56,28886.31,0,0.00,0,0.00,0.00,38,20242.19,21107.99,591.708600,559.788113,0.00,0.000000,0.000000
201508,Auto Particulier,BCS Polis,106,59337.54,168,91685.32,65,32911.85,1,372.97,0,0.00,0.00,46,21866.59,22007.44,559.788113,545.745952,0.00,0.000000,0.000000
201509,Auto Particulier,BCS Polis,168,91685.32,216,111434.76,54,23342.33,6,4892.77,0,0.00,0.00,26,12065.70,13365.58,545.745952,515.901666,0.00,0.000000,0.000000
201510,Auto Particulier,BCS Polis,216,111434.76,265,133615.83,57,26433.61,6,3611.00,0,0.00,0.00,45,23305.39,23313.57,515.901666,504.210679,0.00,0.000000,0.000000
201511,Auto Particulier,BCS Polis,265,133615.83,309,157925.46,49,26034.01,5,2195.18,0,0.00,0.00,27,14114.42,14585.22,504.210679,511.085631,0.00,0.000000,0.000000
201512,Auto Particulier,BCS Polis,309,157925.46,362,189921.27,55,29052.72,2,408.54,0,0.00,0.00,39,20897.45,24309.15,511.085631,524.644392,0.00,0.000000,0.000000
201601,Auto Particulier,BCS Polis,362,189921.27,414,213983.45,55,24711.91,4,1784.53,0,0.00,0.00,31,14000.11,14485.19,524.644392,516.868236,0.00,0.000000,0.000000
